id,is_shadowed,reason,updated_at,created_at,created_by,updated_by,game_id,table_id,user_id,appversion
2507545,True,matchmaking-failed,"July 1, 2025, 4:03:14.000 PM","July 1, 2025, 4:02:44.000 PM",rummy-registration,matchmaking-failed-system,6863e351fa2d8e04539482e3,"583,450",684f97680a93c12c5fe55962,440
2507567,True,matchmaking-failed,"July 1, 2025, 4:03:23.000 PM","July 1, 2025, 4:02:53.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8ea01e948f25,"588,362",684ff0a70a93c12c5f571c6a,440
2507568,True,matchmaking-failed,"July 1, 2025, 4:03:23.000 PM","July 1, 2025, 4:02:54.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8ea01e948f25,"588,362",684959920a93c12c5fd6f8ca,440
2507670,True,matchmaking-failed,"July 1, 2025, 4:03:54.000 PM","July 1, 2025, 4:03:24.000 PM",rummy-registration,matchmaking-failed-system,6863e351fa2d8eb9009482de,"583,445",684fec510a93c12c5f5140f4,444
2507674,True,matchmaking-failed,"July 1, 2025, 4:03:54.000 PM","July 1, 2025, 4:03:26.000 PM",rummy-registration,matchmaking-failed-system,6863e351fa2d8eb9009482de,"583,445",685144ef0a93c12c5fc823fd,444
2507684,True,matchmaking-failed,"July 1, 2025, 4:03:59.000 PM","July 1, 2025, 4:03:29.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8e34fa948f21,"588,358",67ce60d0adbdde23b71171ef,444
2507694,True,matchmaking-failed,"July 1, 2025, 4:03:59.000 PM","July 1, 2025, 4:03:32.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8e34fa948f21,"588,358",684ff0a70a93c12c5f571c6a,440
2507761,True,matchmaking-failed,"July 1, 2025, 4:04:21.000 PM","July 1, 2025, 4:03:51.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8e7176948f33,"588,376",6853296a0a93c12c5fec89a4,441
2507762,True,matchmaking-failed,"July 1, 2025, 4:04:21.000 PM","July 1, 2025, 4:03:51.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8e7176948f33,"588,376",6862993f0a93c12c5ffc7f15,444
2507806,True,matchmaking-failed,"July 1, 2025, 4:04:32.000 PM","July 1, 2025, 4:04:02.000 PM",rummy-registration,matchmaking-failed-system,6863e351fa2d8e14ee9482df,"583,446",682069ddadbdde23b7986393,440
2507810,True,matchmaking-failed,"July 1, 2025, 4:04:32.000 PM","July 1, 2025, 4:04:04.000 PM",rummy-registration,matchmaking-failed-system,6863e351fa2d8e14ee9482df,"583,446",684fec510a93c12c5f5140f4,444
2507852,True,matchmaking-failed,"July 1, 2025, 4:04:43.000 PM","July 1, 2025, 4:04:13.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8e5b34948f26,"588,363",684ff0a70a93c12c5f571c6a,440
2507857,True,matchmaking-failed,"July 1, 2025, 4:04:43.000 PM","July 1, 2025, 4:04:15.000 PM",rummy-registration,matchmaking-failed-system,6863f868fa2d8e5b34948f26,"588,363",68639ed20a93c12c5f5202aa,444
2507896,True,matchmaking-failed,"July 1, 2025, 4:05:00.000 PM","July 1, 2025, 4:04:30.000 PM",rummy-registration,matchmaking-failed-system,6863f8e0fa2d8e2a7a948f82,"588,455",685fa3db0a93c12c5fdca338,444
2507897,True,matchmaking-failed,"July 1, 2025, 4:05:00.000 PM","July 1, 2025, 4:04:31.000 PM",rummy-registration,matchmaking-failed-system,6863f8e0fa2d8e2a7a948f82,"588,455",6853296a0a93c12c5fec89a4,441
2507956,True,matchmaking-failed,"July 1, 2025, 4:05:13.000 PM","July 1, 2025, 4:04:43.000 PM",rummy-registration,matchmaking-failed-system,6863e3c9fa2d8e1ac3948351,"583,560",684fec510a93c12c5f5140f4,444
2507958,True,matchmaking-failed,"July 1, 2025, 4:05:13.000 PM","July 1, 2025, 4:04:43.000 PM",rummy-registration,matchmaking-failed-system,6863e3c9fa2d8e1ac3948351,"583,560",682069ddadbdde23b7986393,440
2507961,True,matchmaking-failed,"July 1, 2025, 4:05:13.000 PM","July 1, 2025, 4:04:43.000 PM",rummy-registration,matchmaking-failed-system,6863f8e0fa2d8ef799948f85,"588,458",686405f30a93c12c5f0cf9c1,444
2507980,True,matchmaking-failed,"July 1, 2025, 4:05:13.000 PM","July 1, 2025, 4:04:48.000 PM",rummy-registration,matchmaking-failed-system,6863f8e0fa2d8ef799948f85,"588,458",6847d6d50a93c12c5f45d9c2,444
2508098,True,matchmaking-failed,"July 1, 2025, 4:05:47.000 PM","July 1, 2025, 4:05:17.000 PM",rummy-registration,matchmaking-failed-system,6863e3c9fa2d8ea78a948348,"583,551",684f97680a93c12c5fe55962,440
2508106,True,matchmaking-failed,"July 1, 2025, 4:05:51.000 PM","July 1, 2025, 4:05:21.000 PM",rummy-registration,matchmaking-failed-system,6863f7f25e9d59098c7f6db2,"588,286",684fec510a93c12c5f5140f4,444
2508107,True,matchmaking-failed,"July 1, 2025, 4:05:51.000 PM","July 1, 2025, 4:05:21.000 PM",rummy-registration,matchmaking-failed-system,6863f7f25e9d59098c7f6db2,"588,286",6860ec0a0a93c12c5f8d6b74,444
2508114,True,matchmaking-failed,"July 1, 2025, 4:05:47.000 PM","July 1, 2025, 4:05:24.000 PM",rummy-registration,matchmaking-failed-system,6863e3c9fa2d8ea78a948348,"583,551",6864061a0a93c12c5f0d4bf1,444
2508172,True,matchmaking-failed,"July 1, 2025, 4:06:12.000 PM","July 1, 2025, 4:05:42.000 PM",rummy-registration,matchmaking-failed-system,6863c0a1fa2d8ec7cc946963,"573,639",684aa7850a93c12c5f1f80b7,444
2508187,True,matchmaking-failed,"July 1, 2025, 4:06:12.000 PM","July 1, 2025, 4:05:47.000 PM",rummy-registration,matchmaking-failed-system,6863c0a1fa2d8ec7cc946963,"573,639",685903990a93c12c5f94e0b1,442
2508251,True,matchmaking-failed,"July 1, 2025, 4:06:41.000 PM","July 1, 2025, 4:06:11.000 PM",rummy-registration,matchmaking-failed-system,6863e3c9fa2d8e55f294834b,"583,554",6860cee80a93c12c5f5b07d6,444
2508254,True,matchmaking-failed,"July 1, 2025, 4:06:41.000 PM","July 1, 2025, 4:06:11.000 PM",rummy-registration,matchmaking-failed-system,6863e3c9fa2d8e55f294834b,"583,554",684fec510a93c12c5f5140f4,444
2508280,True,matchmaking-failed,"July 1, 2025, 4:06:50.000 PM","July 1, 2025, 4:06:20.000 PM",rummy-registration,matchmaking-failed-system,6863e441fa2d8e1ec49483b9,"583,664",6859141c0a93c12c5fae439c,442
2508298,True,matchmaking-failed,"July 1, 2025, 4:06:50.000 PM","July 1, 2025, 4:06:26.000 PM",rummy-registration,matchmaking-failed-system,6863e441fa2d8e1ec49483b9,"583,664",6860df850a93c12c5f770ccc,444
2508368,True,matchmaking-failed,"July 1, 2025, 4:07:17.000 PM","July 1, 2025, 4:06:47.000 PM",rummy-registration,matchmaking-failed-system,6863c119fa2d8e3ade9469dc,"573,760",67ed2da1adbdde23b71ec2cc,444
